strategy,symbol,side,entry,sl,tp2,time,outcome,result_r
S1,XAUUSD,SHORT,4558.89990234375,4672.678830567152,4331.342045896947,2026-05-15 14:15:00+05:30,EXPIRED,0.10458792791917398
S1,XAUUSD,SHORT,4555.7998046875,4672.866714089366,4321.665985883768,2026-05-15 15:45:00+05:30,EXPIRED,0.13837989841894474
S1,XAUUSD,SHORT,4520.7001953125,4545.22735911457,4471.645867708359,2026-05-26 14:30:00+05:30,EXPIRED,0.15494221017226661
S1,XAUUSD,SHORT,4513.60009765625,4545.308297587148,4450.183697794453,2026-05-26 15:00:00+05:30,EXPIRED,0.5487508714360808
S1,XAUUSD,SHORT,4527.89990234375,4578.9715515380785,4425.756603955093,2026-06-01 13:00:00+05:30,EXPIRED,-0.6089503305035946
S1,XAUUSD,SHORT,4525.5,4579.0458532115645,4418.408293576871,2026-06-01 13:30:00+05:30,EXPIRED,-0.7134108996558073
S1,XAUUSD,SHORT,4527.39990234375,4578.991363099727,4424.216980831796,2026-06-01 14:15:00+05:30,EXPIRED,-0.6202576847233902
S1,XAUUSD,SHORT,4526.0,4578.94528525882,4420.10942948236,2026-06-01 14:45:00+05:30,EXPIRED,-0.6062881236606888
S1,XAUUSD,SHORT,4481.60009765625,4526.913381677009,4390.973529614732,2026-06-03 13:15:00+05:30,EXPIRED,-0.18979197473990403
S1,XAUUSD,SHORT,4472.2998046875,4526.952385842521,4362.994642377458,2026-06-03 14:15:00+05:30,EXPIRED,-0.473909741820502
S1,XAUUSD,SHORT,4189.89990234375,4283.512679764298,4002.674347502654,2026-06-10 13:30:00+05:30,EXPIRED,0.8844925550657312
S1,XAUUSD,SHORT,4193.2998046875,4283.528909784011,4012.8415944944772,2026-06-10 14:00:00+05:30,EXPIRED,0.8943866499056099
S1,XAUUSD,SHORT,4191.60009765625,4283.48607013325,4007.82815270225,2026-06-10 15:15:00+05:30,EXPIRED,0.8847954783207013
S2,XAUUSD,SHORT,4532.7001953125,4542.470502153463,4513.159581630574,2026-05-19 16:00:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4534.0,4544.089688241107,4513.820623517786,2026-05-19 17:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4527.2998046875,4538.646002988017,4504.6074080864655,2026-05-19 18:30:00+05:30,TP2,2.0
S2,XAUUSD,LONG,4535.2998046875,4525.858702557611,4554.1820089472785,2026-05-21 13:30:00+05:30,SL,-1.0
S2,XAUUSD,LONG,4534.2998046875,4525.171507788132,4552.5563984862365,2026-05-21 14:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4498.0,4509.060878278442,4475.878243443116,2026-05-22 19:30:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4501.39990234375,4512.169578287145,4479.8605504569605,2026-05-22 20:15:00+05:30,SL,-1.0
S2,XAUUSD,LONG,4538.60009765625,4530.512694337274,4554.774904294201,2026-05-26 13:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4513.60009765625,4522.141097310742,4496.518098347266,2026-05-26 15:00:00+05:30,SL,-1.0
S2,XAUUSD,LONG,4533.89990234375,4524.9545497809495,4551.790607469351,2026-05-26 15:45:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4510.10009765625,4519.483503381578,4491.333286205594,2026-05-26 17:00:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4518.60009765625,4528.791539548387,4498.217213871976,2026-05-26 18:30:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4514.60009765625,4525.335974400507,4493.128344167735,2026-05-26 19:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4515.60009765625,4526.187977775103,4494.424337418544,2026-05-26 20:15:00+05:30,TP2,2.0
S2,XAUUSD,SHORT,4496.2001953125,4505.280534103261,4478.039517730978,2026-05-27 16:00:00+05:30,TP2,2.0
S2,XAUUSD,LONG,4461.89990234375,4450.174040015239,4485.351627000771,2026-05-28 18:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4480.10009765625,4492.6610104931915,4454.978271982367,2026-06-01 19:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4485.89990234375,4498.913117485999,4459.873472059253,2026-06-01 19:45:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4472.2998046875,4481.561245618853,4453.776922824794,2026-06-03 14:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4468.60009765625,4478.697449586536,4448.405393795678,2026-06-03 14:45:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4471.2998046875,4481.149542787625,4451.6003284872495,2026-06-03 15:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4455.2998046875,4467.001831617345,4431.895750827811,2026-06-03 19:00:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4473.89990234375,4486.362537602722,4448.974631825806,2026-06-03 20:30:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4432.10009765625,4443.748517878013,4408.803257212723,2026-06-05 18:15:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4316.5,4328.6894496826135,4292.121100634773,2026-06-08 13:30:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4318.39990234375,4329.878996428637,4295.441714173976,2026-06-08 15:45:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4283.10009765625,4298.155136149945,4252.99002066886,2026-06-09 21:30:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4096.39990234375,4106.855073407814,4075.489560215621,2026-06-11 17:30:00+05:30,SL,-1.0
S2,XAUUSD,SHORT,4094.10009765625,4106.3506054005975,4069.599082167555,2026-06-11 18:30:00+05:30,SL,-1.0
